arabic_ctx,arabic_res,chinese_ctx,chinese_res,english_ctx,english_res,french_ctx,french_res,german_ctx,german_res,hindi_ctx,hindi_res,japanese_ctx,japanese_res,korean_ctx,korean_res,russian_ctx,russian_res,spanish_ctx,spanish_res,ratings
"Disfruto de una gran comida, pero por lo general solo como cuando no hay nada más que hacer. jaja
Sí, eso es genial, ¿cuál es tu color favorito?","el cielo, oye, ¿qué pasa con tus ojos? ¿Son azules?","Disfruto de una gran comida, pero por lo general solo como cuando no hay nada más que hacer. jaja
Sí, eso es genial, ¿cuál es tu color favorito?","el cielo, oye, ¿qué pasa con tus ojos? ¿Son azules?","Disfruto de una gran comida, pero por lo general solo como cuando no hay nada más que hacer. jaja
Sí, eso es genial, ¿cuál es tu color favorito?","el cielo, oye, ¿qué pasa con tus ojos? ¿Son azules?","Disfruto de una gran comida, pero por lo general solo como cuando no hay nada más que hacer. jaja
Sí, eso es genial, ¿cuál es tu color favorito?","el cielo, oye, ¿qué pasa con tus ojos? ¿Son azules?","Disfruto de una gran comida, pero por lo general solo como cuando no hay nada más que hacer. jaja
Sí, eso es genial, ¿cuál es tu color favorito?","el cielo, oye, ¿qué pasa con tus ojos? ¿Son azules?","Disfruto de una gran comida, pero por lo general solo como cuando no hay nada más que hacer. jaja
Sí, eso es genial, ¿cuál es tu color favorito?","el cielo, oye, ¿qué pasa con tus ojos? ¿Son azules?","Disfruto de una gran comida, pero por lo general solo como cuando no hay nada más que hacer. jaja
Sí, eso es genial, ¿cuál es tu color favorito?","el cielo, oye, ¿qué pasa con tus ojos? ¿Son azules?","Disfruto de una gran comida, pero por lo general solo como cuando no hay nada más que hacer. jaja
Sí, eso es genial, ¿cuál es tu color favorito?","el cielo, oye, ¿qué pasa con tus ojos? ¿Son azules?","Disfruto de una gran comida, pero por lo general solo como cuando no hay nada más que hacer. jaja
Sí, eso es genial, ¿cuál es tu color favorito?","el cielo, oye, ¿qué pasa con tus ojos? ¿Son azules?","Disfruto de una gran comida, pero por lo general solo como cuando no hay nada más que hacer. jaja
Sí, eso es genial, ¿cuál es tu color favorito?","el cielo, oye, ¿qué pasa con tus ojos? ¿Son azules?",3.2
"Hola, ¿cómo estás esta noche?
Estoy agotado del trabajo hoy. ¿Cómo estás?","te siento. Jugué al fútbol justo después de la escuela, así que siempre estaba un poco cansado.","Hola, ¿cómo estás esta noche?
Estoy agotado del trabajo hoy. ¿Cómo estás?","te siento. Jugué al fútbol justo después de la escuela, así que siempre estaba un poco cansado.","Hola, ¿cómo estás esta noche?
Estoy agotado del trabajo hoy. ¿Cómo estás?","te siento. Jugué al fútbol justo después de la escuela, así que siempre estaba un poco cansado.","Hola, ¿cómo estás esta noche?
Estoy agotado del trabajo hoy. ¿Cómo estás?","te siento. Jugué al fútbol justo después de la escuela, así que siempre estaba un poco cansado.","Hola, ¿cómo estás esta noche?
Estoy agotado del trabajo hoy. ¿Cómo estás?","te siento. Jugué al fútbol justo después de la escuela, así que siempre estaba un poco cansado.","Hola, ¿cómo estás esta noche?
Estoy agotado del trabajo hoy. ¿Cómo estás?","te siento. Jugué al fútbol justo después de la escuela, así que siempre estaba un poco cansado.","Hola, ¿cómo estás esta noche?
Estoy agotado del trabajo hoy. ¿Cómo estás?","te siento. Jugué al fútbol justo después de la escuela, así que siempre estaba un poco cansado.","Hola, ¿cómo estás esta noche?
Estoy agotado del trabajo hoy. ¿Cómo estás?","te siento. Jugué al fútbol justo después de la escuela, así que siempre estaba un poco cansado.","Hola, ¿cómo estás esta noche?
Estoy agotado del trabajo hoy. ¿Cómo estás?","te siento. Jugué al fútbol justo después de la escuela, así que siempre estaba un poco cansado.","Hola, ¿cómo estás esta noche?
Estoy agotado del trabajo hoy. ¿Cómo estás?","te siento. Jugué al fútbol justo después de la escuela, así que siempre estaba un poco cansado.",3.9
"en cualquier lugar con deliciosa comida. Soy un gran foodie, aunque soy un pésimo cocinero.
¿Qué tipo de alimentos disfrutas? Me encanta cocinar pero nunca lo hago","¡Lo odio! Sin embargo, disfruto asando a la parrilla","en cualquier lugar con deliciosa comida. Soy un gran foodie, aunque soy un pésimo cocinero.
¿Qué tipo de alimentos disfrutas? Me encanta cocinar pero nunca lo hago","¡Lo odio! Sin embargo, disfruto asando a la parrilla","en cualquier lugar con deliciosa comida. Soy un gran foodie, aunque soy un pésimo cocinero.
¿Qué tipo de alimentos disfrutas? Me encanta cocinar pero nunca lo hago","¡Lo odio! Sin embargo, disfruto asando a la parrilla","en cualquier lugar con deliciosa comida. Soy un gran foodie, aunque soy un pésimo cocinero.
¿Qué tipo de alimentos disfrutas? Me encanta cocinar pero nunca lo hago","¡Lo odio! Sin embargo, disfruto asando a la parrilla","en cualquier lugar con deliciosa comida. Soy un gran foodie, aunque soy un pésimo cocinero.
¿Qué tipo de alimentos disfrutas? Me encanta cocinar pero nunca lo hago","¡Lo odio! Sin embargo, disfruto asando a la parrilla","en cualquier lugar con deliciosa comida. Soy un gran foodie, aunque soy un pésimo cocinero.
¿Qué tipo de alimentos disfrutas? Me encanta cocinar pero nunca lo hago","¡Lo odio! Sin embargo, disfruto asando a la parrilla","en cualquier lugar con deliciosa comida. Soy un gran foodie, aunque soy un pésimo cocinero.
¿Qué tipo de alimentos disfrutas? Me encanta cocinar pero nunca lo hago","¡Lo odio! Sin embargo, disfruto asando a la parrilla","en cualquier lugar con deliciosa comida. Soy un gran foodie, aunque soy un pésimo cocinero.
¿Qué tipo de alimentos disfrutas? Me encanta cocinar pero nunca lo hago","¡Lo odio! Sin embargo, disfruto asando a la parrilla","en cualquier lugar con deliciosa comida. Soy un gran foodie, aunque soy un pésimo cocinero.
¿Qué tipo de alimentos disfrutas? Me encanta cocinar pero nunca lo hago","¡Lo odio! Sin embargo, disfruto asando a la parrilla","en cualquier lugar con deliciosa comida. Soy un gran foodie, aunque soy un pésimo cocinero.
¿Qué tipo de alimentos disfrutas? Me encanta cocinar pero nunca lo hago","¡Lo odio! Sin embargo, disfruto asando a la parrilla",4.0
"Perfecto. Yo no, pero a mi esposa e hijos les encantaría un perro.
los perros siempre persiguen a mis gatos. Prefiero los gatos.","son lindos, pero están maullando por mis tacos, mi comida favorita!","Perfecto. Yo no, pero a mi esposa e hijos les encantaría un perro.
los perros siempre persiguen a mis gatos. Prefiero los gatos.","son lindos, pero están maullando por mis tacos, mi comida favorita!","Perfecto. Yo no, pero a mi esposa e hijos les encantaría un perro.
los perros siempre persiguen a mis gatos. Prefiero los gatos.","son lindos, pero están maullando por mis tacos, mi comida favorita!","Perfecto. Yo no, pero a mi esposa e hijos les encantaría un perro.
los perros siempre persiguen a mis gatos. Prefiero los gatos.","son lindos, pero están maullando por mis tacos, mi comida favorita!","Perfecto. Yo no, pero a mi esposa e hijos les encantaría un perro.
los perros siempre persiguen a mis gatos. Prefiero los gatos.","son lindos, pero están maullando por mis tacos, mi comida favorita!","Perfecto. Yo no, pero a mi esposa e hijos les encantaría un perro.
los perros siempre persiguen a mis gatos. Prefiero los gatos.","son lindos, pero están maullando por mis tacos, mi comida favorita!","Perfecto. Yo no, pero a mi esposa e hijos les encantaría un perro.
los perros siempre persiguen a mis gatos. Prefiero los gatos.","son lindos, pero están maullando por mis tacos, mi comida favorita!","Perfecto. Yo no, pero a mi esposa e hijos les encantaría un perro.
los perros siempre persiguen a mis gatos. Prefiero los gatos.","son lindos, pero están maullando por mis tacos, mi comida favorita!","Perfecto. Yo no, pero a mi esposa e hijos les encantaría un perro.
los perros siempre persiguen a mis gatos. Prefiero los gatos.","son lindos, pero están maullando por mis tacos, mi comida favorita!","Perfecto. Yo no, pero a mi esposa e hijos les encantaría un perro.
los perros siempre persiguen a mis gatos. Prefiero los gatos.","son lindos, pero están maullando por mis tacos, mi comida favorita!",4.2
"¡Espero poder encontrar un nuevo trabajo de médico pronto!
mis padres no apoyan mi sueño como custodio",eso no es divertido. ¡Mis dos hijos en edad de escuela secundaria quieren ser médicos!,"¡Espero poder encontrar un nuevo trabajo de médico pronto!
mis padres no apoyan mi sueño como custodio",eso no es divertido. ¡Mis dos hijos en edad de escuela secundaria quieren ser médicos!,"¡Espero poder encontrar un nuevo trabajo de médico pronto!
mis padres no apoyan mi sueño como custodio",eso no es divertido. ¡Mis dos hijos en edad de escuela secundaria quieren ser médicos!,"¡Espero poder encontrar un nuevo trabajo de médico pronto!
mis padres no apoyan mi sueño como custodio",eso no es divertido. ¡Mis dos hijos en edad de escuela secundaria quieren ser médicos!,"¡Espero poder encontrar un nuevo trabajo de médico pronto!
mis padres no apoyan mi sueño como custodio",eso no es divertido. ¡Mis dos hijos en edad de escuela secundaria quieren ser médicos!,"¡Espero poder encontrar un nuevo trabajo de médico pronto!
mis padres no apoyan mi sueño como custodio",eso no es divertido. ¡Mis dos hijos en edad de escuela secundaria quieren ser médicos!,"¡Espero poder encontrar un nuevo trabajo de médico pronto!
mis padres no apoyan mi sueño como custodio",eso no es divertido. ¡Mis dos hijos en edad de escuela secundaria quieren ser médicos!,"¡Espero poder encontrar un nuevo trabajo de médico pronto!
mis padres no apoyan mi sueño como custodio",eso no es divertido. ¡Mis dos hijos en edad de escuela secundaria quieren ser médicos!,"¡Espero poder encontrar un nuevo trabajo de médico pronto!
mis padres no apoyan mi sueño como custodio",eso no es divertido. ¡Mis dos hijos en edad de escuela secundaria quieren ser médicos!,"¡Espero poder encontrar un nuevo trabajo de médico pronto!
mis padres no apoyan mi sueño como custodio",eso no es divertido. ¡Mis dos hijos en edad de escuela secundaria quieren ser médicos!,3.7
"Sí, tengo un perro y 2 gatos en este momento
Tengo un perro yo mismo, puede ser un poco doloroso",Estoy en la universidad y trabajo con niños ciegos. algunos perros pueden ser entrenados para ayudar.,"Sí, tengo un perro y 2 gatos en este momento
Tengo un perro yo mismo, puede ser un poco doloroso",Estoy en la universidad y trabajo con niños ciegos. algunos perros pueden ser entrenados para ayudar.,"Sí, tengo un perro y 2 gatos en este momento
Tengo un perro yo mismo, puede ser un poco doloroso",Estoy en la universidad y trabajo con niños ciegos. algunos perros pueden ser entrenados para ayudar.,"Sí, tengo un perro y 2 gatos en este momento
Tengo un perro yo mismo, puede ser un poco doloroso",Estoy en la universidad y trabajo con niños ciegos. algunos perros pueden ser entrenados para ayudar.,"Sí, tengo un perro y 2 gatos en este momento
Tengo un perro yo mismo, puede ser un poco doloroso",Estoy en la universidad y trabajo con niños ciegos. algunos perros pueden ser entrenados para ayudar.,"Sí, tengo un perro y 2 gatos en este momento
Tengo un perro yo mismo, puede ser un poco doloroso",Estoy en la universidad y trabajo con niños ciegos. algunos perros pueden ser entrenados para ayudar.,"Sí, tengo un perro y 2 gatos en este momento
Tengo un perro yo mismo, puede ser un poco doloroso",Estoy en la universidad y trabajo con niños ciegos. algunos perros pueden ser entrenados para ayudar.,"Sí, tengo un perro y 2 gatos en este momento
Tengo un perro yo mismo, puede ser un poco doloroso",Estoy en la universidad y trabajo con niños ciegos. algunos perros pueden ser entrenados para ayudar.,"Sí, tengo un perro y 2 gatos en este momento
Tengo un perro yo mismo, puede ser un poco doloroso",Estoy en la universidad y trabajo con niños ciegos. algunos perros pueden ser entrenados para ayudar.,"Sí, tengo un perro y 2 gatos en este momento
Tengo un perro yo mismo, puede ser un poco doloroso",Estoy en la universidad y trabajo con niños ciegos. algunos perros pueden ser entrenados para ayudar.,3.8
"Yo también. debería cambiar mi mini furgoneta por un coche deportivo.
Sí. que no ama un coche deportivo.",¿Por qué no? Vivo para buenos autos para ser honesto,"Yo también. debería cambiar mi mini furgoneta por un coche deportivo.
Sí. que no ama un coche deportivo.",¿Por qué no? Vivo para buenos autos para ser honesto,"Yo también. debería cambiar mi mini furgoneta por un coche deportivo.
Sí. que no ama un coche deportivo.",¿Por qué no? Vivo para buenos autos para ser honesto,"Yo también. debería cambiar mi mini furgoneta por un coche deportivo.
Sí. que no ama un coche deportivo.",¿Por qué no? Vivo para buenos autos para ser honesto,"Yo también. debería cambiar mi mini furgoneta por un coche deportivo.
Sí. que no ama un coche deportivo.",¿Por qué no? Vivo para buenos autos para ser honesto,"Yo también. debería cambiar mi mini furgoneta por un coche deportivo.
Sí. que no ama un coche deportivo.",¿Por qué no? Vivo para buenos autos para ser honesto,"Yo también. debería cambiar mi mini furgoneta por un coche deportivo.
Sí. que no ama un coche deportivo.",¿Por qué no? Vivo para buenos autos para ser honesto,"Yo también. debería cambiar mi mini furgoneta por un coche deportivo.
Sí. que no ama un coche deportivo.",¿Por qué no? Vivo para buenos autos para ser honesto,"Yo también. debería cambiar mi mini furgoneta por un coche deportivo.
Sí. que no ama un coche deportivo.",¿Por qué no? Vivo para buenos autos para ser honesto,"Yo también. debería cambiar mi mini furgoneta por un coche deportivo.
Sí. que no ama un coche deportivo.",¿Por qué no? Vivo para buenos autos para ser honesto,4.0
"cuando me retire en pocos años viajaré por todo el país a las carreras de nascar.
¡fresco! Wonder Woman y yo amamos el color gris. te gustan los escorpiones?",me encantan. por eso sueño con mudarme al desierto.,"cuando me retire en pocos años viajaré por todo el país a las carreras de nascar.
¡fresco! Wonder Woman y yo amamos el color gris. te gustan los escorpiones?",me encantan. por eso sueño con mudarme al desierto.,"cuando me retire en pocos años viajaré por todo el país a las carreras de nascar.
¡fresco! Wonder Woman y yo amamos el color gris. te gustan los escorpiones?",me encantan. por eso sueño con mudarme al desierto.,"cuando me retire en pocos años viajaré por todo el país a las carreras de nascar.
¡fresco! Wonder Woman y yo amamos el color gris. te gustan los escorpiones?",me encantan. por eso sueño con mudarme al desierto.,"cuando me retire en pocos años viajaré por todo el país a las carreras de nascar.
¡fresco! Wonder Woman y yo amamos el color gris. te gustan los escorpiones?",me encantan. por eso sueño con mudarme al desierto.,"cuando me retire en pocos años viajaré por todo el país a las carreras de nascar.
¡fresco! Wonder Woman y yo amamos el color gris. te gustan los escorpiones?",me encantan. por eso sueño con mudarme al desierto.,"cuando me retire en pocos años viajaré por todo el país a las carreras de nascar.
¡fresco! Wonder Woman y yo amamos el color gris. te gustan los escorpiones?",me encantan. por eso sueño con mudarme al desierto.,"cuando me retire en pocos años viajaré por todo el país a las carreras de nascar.
¡fresco! Wonder Woman y yo amamos el color gris. te gustan los escorpiones?",me encantan. por eso sueño con mudarme al desierto.,"cuando me retire en pocos años viajaré por todo el país a las carreras de nascar.
¡fresco! Wonder Woman y yo amamos el color gris. te gustan los escorpiones?",me encantan. por eso sueño con mudarme al desierto.,"cuando me retire en pocos años viajaré por todo el país a las carreras de nascar.
¡fresco! Wonder Woman y yo amamos el color gris. te gustan los escorpiones?",me encantan. por eso sueño con mudarme al desierto.,3.6
"Tengo que beber otra sustancia que contiene partículas de hidrógeno y oxígeno
dang que un poco raro. bueno, ¿tienes una mascota?","No. No me llevo bien con nadie, incluso con las mascotas","Tengo que beber otra sustancia que contiene partículas de hidrógeno y oxígeno
dang que un poco raro. bueno, ¿tienes una mascota?","No. No me llevo bien con nadie, incluso con las mascotas","Tengo que beber otra sustancia que contiene partículas de hidrógeno y oxígeno
dang que un poco raro. bueno, ¿tienes una mascota?","No. No me llevo bien con nadie, incluso con las mascotas","Tengo que beber otra sustancia que contiene partículas de hidrógeno y oxígeno
dang que un poco raro. bueno, ¿tienes una mascota?","No. No me llevo bien con nadie, incluso con las mascotas","Tengo que beber otra sustancia que contiene partículas de hidrógeno y oxígeno
dang que un poco raro. bueno, ¿tienes una mascota?","No. No me llevo bien con nadie, incluso con las mascotas","Tengo que beber otra sustancia que contiene partículas de hidrógeno y oxígeno
dang que un poco raro. bueno, ¿tienes una mascota?","No. No me llevo bien con nadie, incluso con las mascotas","Tengo que beber otra sustancia que contiene partículas de hidrógeno y oxígeno
dang que un poco raro. bueno, ¿tienes una mascota?","No. No me llevo bien con nadie, incluso con las mascotas","Tengo que beber otra sustancia que contiene partículas de hidrógeno y oxígeno
dang que un poco raro. bueno, ¿tienes una mascota?","No. No me llevo bien con nadie, incluso con las mascotas","Tengo que beber otra sustancia que contiene partículas de hidrógeno y oxígeno
dang que un poco raro. bueno, ¿tienes una mascota?","No. No me llevo bien con nadie, incluso con las mascotas","Tengo que beber otra sustancia que contiene partículas de hidrógeno y oxígeno
dang que un poco raro. bueno, ¿tienes una mascota?","No. No me llevo bien con nadie, incluso con las mascotas",3.7
"eso debe ser interesante. No tengo tiempo fuera de la construcción de la casa para hacer mucho
eso está bien, ¿te gusta la música death metal?","¡Sí! Trabajo en un casino como crupier de blackjack, tenemos bandas en vivo","eso debe ser interesante. No tengo tiempo fuera de la construcción de la casa para hacer mucho
eso está bien, ¿te gusta la música death metal?","¡Sí! Trabajo en un casino como crupier de blackjack, tenemos bandas en vivo","eso debe ser interesante. No tengo tiempo fuera de la construcción de la casa para hacer mucho
eso está bien, ¿te gusta la música death metal?","¡Sí! Trabajo en un casino como crupier de blackjack, tenemos bandas en vivo","eso debe ser interesante. No tengo tiempo fuera de la construcción de la casa para hacer mucho
eso está bien, ¿te gusta la música death metal?","¡Sí! Trabajo en un casino como crupier de blackjack, tenemos bandas en vivo","eso debe ser interesante. No tengo tiempo fuera de la construcción de la casa para hacer mucho
eso está bien, ¿te gusta la música death metal?","¡Sí! Trabajo en un casino como crupier de blackjack, tenemos bandas en vivo","eso debe ser interesante. No tengo tiempo fuera de la construcción de la casa para hacer mucho
eso está bien, ¿te gusta la música death metal?","¡Sí! Trabajo en un casino como crupier de blackjack, tenemos bandas en vivo","eso debe ser interesante. No tengo tiempo fuera de la construcción de la casa para hacer mucho
eso está bien, ¿te gusta la música death metal?","¡Sí! Trabajo en un casino como crupier de blackjack, tenemos bandas en vivo","eso debe ser interesante. No tengo tiempo fuera de la construcción de la casa para hacer mucho
eso está bien, ¿te gusta la música death metal?","¡Sí! Trabajo en un casino como crupier de blackjack, tenemos bandas en vivo","eso debe ser interesante. No tengo tiempo fuera de la construcción de la casa para hacer mucho
eso está bien, ¿te gusta la música death metal?","¡Sí! Trabajo en un casino como crupier de blackjack, tenemos bandas en vivo","eso debe ser interesante. No tengo tiempo fuera de la construcción de la casa para hacer mucho
eso está bien, ¿te gusta la música death metal?","¡Sí! Trabajo en un casino como crupier de blackjack, tenemos bandas en vivo",3.4
