arabic_ctx,arabic_res,chinese_ctx,chinese_res,english_ctx,english_res,french_ctx,french_res,german_ctx,german_res,hindi_ctx,hindi_res,japanese_ctx,japanese_res,korean_ctx,korean_res,russian_ctx,russian_res,spanish_ctx,spanish_res,ratings
"Sí, ese es mi único día libre hasta el jueves.
ok, bueno, mis amigos y yo estamos planeando ir a la playa el domingo. Tendemos a salir alrededor del mediodía cada vez que vamos a cualquier lugar, por lo que aún podría dormir en . ¿Quieres venir con nosotros?",De acuerdo. Estaré allí por la tarde.,"Sí, ese es mi único día libre hasta el jueves.
ok, bueno, mis amigos y yo estamos planeando ir a la playa el domingo. Tendemos a salir alrededor del mediodía cada vez que vamos a cualquier lugar, por lo que aún podría dormir en . ¿Quieres venir con nosotros?",De acuerdo. Estaré allí por la tarde.,"Sí, ese es mi único día libre hasta el jueves.
ok, bueno, mis amigos y yo estamos planeando ir a la playa el domingo. Tendemos a salir alrededor del mediodía cada vez que vamos a cualquier lugar, por lo que aún podría dormir en . ¿Quieres venir con nosotros?",De acuerdo. Estaré allí por la tarde.,"Sí, ese es mi único día libre hasta el jueves.
ok, bueno, mis amigos y yo estamos planeando ir a la playa el domingo. Tendemos a salir alrededor del mediodía cada vez que vamos a cualquier lugar, por lo que aún podría dormir en . ¿Quieres venir con nosotros?",De acuerdo. Estaré allí por la tarde.,"Sí, ese es mi único día libre hasta el jueves.
ok, bueno, mis amigos y yo estamos planeando ir a la playa el domingo. Tendemos a salir alrededor del mediodía cada vez que vamos a cualquier lugar, por lo que aún podría dormir en . ¿Quieres venir con nosotros?",De acuerdo. Estaré allí por la tarde.,"Sí, ese es mi único día libre hasta el jueves.
ok, bueno, mis amigos y yo estamos planeando ir a la playa el domingo. Tendemos a salir alrededor del mediodía cada vez que vamos a cualquier lugar, por lo que aún podría dormir en . ¿Quieres venir con nosotros?",De acuerdo. Estaré allí por la tarde.,"Sí, ese es mi único día libre hasta el jueves.
ok, bueno, mis amigos y yo estamos planeando ir a la playa el domingo. Tendemos a salir alrededor del mediodía cada vez que vamos a cualquier lugar, por lo que aún podría dormir en . ¿Quieres venir con nosotros?",De acuerdo. Estaré allí por la tarde.,"Sí, ese es mi único día libre hasta el jueves.
ok, bueno, mis amigos y yo estamos planeando ir a la playa el domingo. Tendemos a salir alrededor del mediodía cada vez que vamos a cualquier lugar, por lo que aún podría dormir en . ¿Quieres venir con nosotros?",De acuerdo. Estaré allí por la tarde.,"Sí, ese es mi único día libre hasta el jueves.
ok, bueno, mis amigos y yo estamos planeando ir a la playa el domingo. Tendemos a salir alrededor del mediodía cada vez que vamos a cualquier lugar, por lo que aún podría dormir en . ¿Quieres venir con nosotros?",De acuerdo. Estaré allí por la tarde.,"Sí, ese es mi único día libre hasta el jueves.
ok, bueno, mis amigos y yo estamos planeando ir a la playa el domingo. Tendemos a salir alrededor del mediodía cada vez que vamos a cualquier lugar, por lo que aún podría dormir en . ¿Quieres venir con nosotros?",De acuerdo. Estaré allí por la tarde.,3.6
"Hola, 332440 .
Hola, Sally. Este es Dave Thomson aquí. ¿Podría hablar con Jim, por favor?","Este es Jim, por favor.","Hola, 332440 .
Hola, Sally. Este es Dave Thomson aquí. ¿Podría hablar con Jim, por favor?","Este es Jim, por favor.","Hola, 332440 .
Hola, Sally. Este es Dave Thomson aquí. ¿Podría hablar con Jim, por favor?","Este es Jim, por favor.","Hola, 332440 .
Hola, Sally. Este es Dave Thomson aquí. ¿Podría hablar con Jim, por favor?","Este es Jim, por favor.","Hola, 332440 .
Hola, Sally. Este es Dave Thomson aquí. ¿Podría hablar con Jim, por favor?","Este es Jim, por favor.","Hola, 332440 .
Hola, Sally. Este es Dave Thomson aquí. ¿Podría hablar con Jim, por favor?","Este es Jim, por favor.","Hola, 332440 .
Hola, Sally. Este es Dave Thomson aquí. ¿Podría hablar con Jim, por favor?","Este es Jim, por favor.","Hola, 332440 .
Hola, Sally. Este es Dave Thomson aquí. ¿Podría hablar con Jim, por favor?","Este es Jim, por favor.","Hola, 332440 .
Hola, Sally. Este es Dave Thomson aquí. ¿Podría hablar con Jim, por favor?","Este es Jim, por favor.","Hola, 332440 .
Hola, Sally. Este es Dave Thomson aquí. ¿Podría hablar con Jim, por favor?","Este es Jim, por favor.",3.6
"Ojalá nuestra empresa prescriba tiempo flexible.
La junta ha estado considerando introducir el tiempo flexible.","Pero no es un trabajo muy alto, pero no es un trabajo de tiempo muy alto.","Ojalá nuestra empresa prescriba tiempo flexible.
La junta ha estado considerando introducir el tiempo flexible.","Pero no es un trabajo muy alto, pero no es un trabajo de tiempo muy alto.","Ojalá nuestra empresa prescriba tiempo flexible.
La junta ha estado considerando introducir el tiempo flexible.","Pero no es un trabajo muy alto, pero no es un trabajo de tiempo muy alto.","Ojalá nuestra empresa prescriba tiempo flexible.
La junta ha estado considerando introducir el tiempo flexible.","Pero no es un trabajo muy alto, pero no es un trabajo de tiempo muy alto.","Ojalá nuestra empresa prescriba tiempo flexible.
La junta ha estado considerando introducir el tiempo flexible.","Pero no es un trabajo muy alto, pero no es un trabajo de tiempo muy alto.","Ojalá nuestra empresa prescriba tiempo flexible.
La junta ha estado considerando introducir el tiempo flexible.","Pero no es un trabajo muy alto, pero no es un trabajo de tiempo muy alto.","Ojalá nuestra empresa prescriba tiempo flexible.
La junta ha estado considerando introducir el tiempo flexible.","Pero no es un trabajo muy alto, pero no es un trabajo de tiempo muy alto.","Ojalá nuestra empresa prescriba tiempo flexible.
La junta ha estado considerando introducir el tiempo flexible.","Pero no es un trabajo muy alto, pero no es un trabajo de tiempo muy alto.","Ojalá nuestra empresa prescriba tiempo flexible.
La junta ha estado considerando introducir el tiempo flexible.","Pero no es un trabajo muy alto, pero no es un trabajo de tiempo muy alto.","Ojalá nuestra empresa prescriba tiempo flexible.
La junta ha estado considerando introducir el tiempo flexible.","Pero no es un trabajo muy alto, pero no es un trabajo de tiempo muy alto.",3.3
"Muchas gracias. ¿Lee sus correos electrónicos diariamente?
Sí. Suele contestar de inmediato.","Oh, él es un hombre de primera persona. Es un hombre exitoso y exitoso.","Muchas gracias. ¿Lee sus correos electrónicos diariamente?
Sí. Suele contestar de inmediato.","Oh, él es un hombre de primera persona. Es un hombre exitoso y exitoso.","Muchas gracias. ¿Lee sus correos electrónicos diariamente?
Sí. Suele contestar de inmediato.","Oh, él es un hombre de primera persona. Es un hombre exitoso y exitoso.","Muchas gracias. ¿Lee sus correos electrónicos diariamente?
Sí. Suele contestar de inmediato.","Oh, él es un hombre de primera persona. Es un hombre exitoso y exitoso.","Muchas gracias. ¿Lee sus correos electrónicos diariamente?
Sí. Suele contestar de inmediato.","Oh, él es un hombre de primera persona. Es un hombre exitoso y exitoso.","Muchas gracias. ¿Lee sus correos electrónicos diariamente?
Sí. Suele contestar de inmediato.","Oh, él es un hombre de primera persona. Es un hombre exitoso y exitoso.","Muchas gracias. ¿Lee sus correos electrónicos diariamente?
Sí. Suele contestar de inmediato.","Oh, él es un hombre de primera persona. Es un hombre exitoso y exitoso.","Muchas gracias. ¿Lee sus correos electrónicos diariamente?
Sí. Suele contestar de inmediato.","Oh, él es un hombre de primera persona. Es un hombre exitoso y exitoso.","Muchas gracias. ¿Lee sus correos electrónicos diariamente?
Sí. Suele contestar de inmediato.","Oh, él es un hombre de primera persona. Es un hombre exitoso y exitoso.","Muchas gracias. ¿Lee sus correos electrónicos diariamente?
Sí. Suele contestar de inmediato.","Oh, él es un hombre de primera persona. Es un hombre exitoso y exitoso.",3.4
"Voy a tomar un poco de leche, pero sin azúcar, por favor. Asegúrese de dejar que el té se empape unos minutos antes de sacar la bolsa de té de la taza.
De acuerdo. ¿Qué opinas de nuestro salón?",Es una muy buena idea.,"Voy a tomar un poco de leche, pero sin azúcar, por favor. Asegúrese de dejar que el té se empape unos minutos antes de sacar la bolsa de té de la taza.
De acuerdo. ¿Qué opinas de nuestro salón?",Es una muy buena idea.,"Voy a tomar un poco de leche, pero sin azúcar, por favor. Asegúrese de dejar que el té se empape unos minutos antes de sacar la bolsa de té de la taza.
De acuerdo. ¿Qué opinas de nuestro salón?",Es una muy buena idea.,"Voy a tomar un poco de leche, pero sin azúcar, por favor. Asegúrese de dejar que el té se empape unos minutos antes de sacar la bolsa de té de la taza.
De acuerdo. ¿Qué opinas de nuestro salón?",Es una muy buena idea.,"Voy a tomar un poco de leche, pero sin azúcar, por favor. Asegúrese de dejar que el té se empape unos minutos antes de sacar la bolsa de té de la taza.
De acuerdo. ¿Qué opinas de nuestro salón?",Es una muy buena idea.,"Voy a tomar un poco de leche, pero sin azúcar, por favor. Asegúrese de dejar que el té se empape unos minutos antes de sacar la bolsa de té de la taza.
De acuerdo. ¿Qué opinas de nuestro salón?",Es una muy buena idea.,"Voy a tomar un poco de leche, pero sin azúcar, por favor. Asegúrese de dejar que el té se empape unos minutos antes de sacar la bolsa de té de la taza.
De acuerdo. ¿Qué opinas de nuestro salón?",Es una muy buena idea.,"Voy a tomar un poco de leche, pero sin azúcar, por favor. Asegúrese de dejar que el té se empape unos minutos antes de sacar la bolsa de té de la taza.
De acuerdo. ¿Qué opinas de nuestro salón?",Es una muy buena idea.,"Voy a tomar un poco de leche, pero sin azúcar, por favor. Asegúrese de dejar que el té se empape unos minutos antes de sacar la bolsa de té de la taza.
De acuerdo. ¿Qué opinas de nuestro salón?",Es una muy buena idea.,"Voy a tomar un poco de leche, pero sin azúcar, por favor. Asegúrese de dejar que el té se empape unos minutos antes de sacar la bolsa de té de la taza.
De acuerdo. ¿Qué opinas de nuestro salón?",Es una muy buena idea.,3.4
"Quiero echar un vistazo a esa casa con las banderas de Open House al frente.
¡Qué barrio tan maravilloso! ¿Puedes encontrar esa casa en nuestra lista de Open House?",Lamento no poder ir allí.,"Quiero echar un vistazo a esa casa con las banderas de Open House al frente.
¡Qué barrio tan maravilloso! ¿Puedes encontrar esa casa en nuestra lista de Open House?",Lamento no poder ir allí.,"Quiero echar un vistazo a esa casa con las banderas de Open House al frente.
¡Qué barrio tan maravilloso! ¿Puedes encontrar esa casa en nuestra lista de Open House?",Lamento no poder ir allí.,"Quiero echar un vistazo a esa casa con las banderas de Open House al frente.
¡Qué barrio tan maravilloso! ¿Puedes encontrar esa casa en nuestra lista de Open House?",Lamento no poder ir allí.,"Quiero echar un vistazo a esa casa con las banderas de Open House al frente.
¡Qué barrio tan maravilloso! ¿Puedes encontrar esa casa en nuestra lista de Open House?",Lamento no poder ir allí.,"Quiero echar un vistazo a esa casa con las banderas de Open House al frente.
¡Qué barrio tan maravilloso! ¿Puedes encontrar esa casa en nuestra lista de Open House?",Lamento no poder ir allí.,"Quiero echar un vistazo a esa casa con las banderas de Open House al frente.
¡Qué barrio tan maravilloso! ¿Puedes encontrar esa casa en nuestra lista de Open House?",Lamento no poder ir allí.,"Quiero echar un vistazo a esa casa con las banderas de Open House al frente.
¡Qué barrio tan maravilloso! ¿Puedes encontrar esa casa en nuestra lista de Open House?",Lamento no poder ir allí.,"Quiero echar un vistazo a esa casa con las banderas de Open House al frente.
¡Qué barrio tan maravilloso! ¿Puedes encontrar esa casa en nuestra lista de Open House?",Lamento no poder ir allí.,"Quiero echar un vistazo a esa casa con las banderas de Open House al frente.
¡Qué barrio tan maravilloso! ¿Puedes encontrar esa casa en nuestra lista de Open House?",Lamento no poder ir allí.,3.2222222222222223
"Calma. Vamos a tener nuestro propio bebé. Deberías ser feliz.
Lo sé.","Bueno, ya sabes.","Calma. Vamos a tener nuestro propio bebé. Deberías ser feliz.
Lo sé.","Bueno, ya sabes.","Calma. Vamos a tener nuestro propio bebé. Deberías ser feliz.
Lo sé.","Bueno, ya sabes.","Calma. Vamos a tener nuestro propio bebé. Deberías ser feliz.
Lo sé.","Bueno, ya sabes.","Calma. Vamos a tener nuestro propio bebé. Deberías ser feliz.
Lo sé.","Bueno, ya sabes.","Calma. Vamos a tener nuestro propio bebé. Deberías ser feliz.
Lo sé.","Bueno, ya sabes.","Calma. Vamos a tener nuestro propio bebé. Deberías ser feliz.
Lo sé.","Bueno, ya sabes.","Calma. Vamos a tener nuestro propio bebé. Deberías ser feliz.
Lo sé.","Bueno, ya sabes.","Calma. Vamos a tener nuestro propio bebé. Deberías ser feliz.
Lo sé.","Bueno, ya sabes.","Calma. Vamos a tener nuestro propio bebé. Deberías ser feliz.
Lo sé.","Bueno, ya sabes.",3.0
"¡Uau! Tu caligrafía es muy bonita. ¡Valió la pena la espera!
Gracias. Hoy estoy escribiendo una especie de poema llamado copla china.",Es tan malo.,"¡Uau! Tu caligrafía es muy bonita. ¡Valió la pena la espera!
Gracias. Hoy estoy escribiendo una especie de poema llamado copla china.",Es tan malo.,"¡Uau! Tu caligrafía es muy bonita. ¡Valió la pena la espera!
Gracias. Hoy estoy escribiendo una especie de poema llamado copla china.",Es tan malo.,"¡Uau! Tu caligrafía es muy bonita. ¡Valió la pena la espera!
Gracias. Hoy estoy escribiendo una especie de poema llamado copla china.",Es tan malo.,"¡Uau! Tu caligrafía es muy bonita. ¡Valió la pena la espera!
Gracias. Hoy estoy escribiendo una especie de poema llamado copla china.",Es tan malo.,"¡Uau! Tu caligrafía es muy bonita. ¡Valió la pena la espera!
Gracias. Hoy estoy escribiendo una especie de poema llamado copla china.",Es tan malo.,"¡Uau! Tu caligrafía es muy bonita. ¡Valió la pena la espera!
Gracias. Hoy estoy escribiendo una especie de poema llamado copla china.",Es tan malo.,"¡Uau! Tu caligrafía es muy bonita. ¡Valió la pena la espera!
Gracias. Hoy estoy escribiendo una especie de poema llamado copla china.",Es tan malo.,"¡Uau! Tu caligrafía es muy bonita. ¡Valió la pena la espera!
Gracias. Hoy estoy escribiendo una especie de poema llamado copla china.",Es tan malo.,"¡Uau! Tu caligrafía es muy bonita. ¡Valió la pena la espera!
Gracias. Hoy estoy escribiendo una especie de poema llamado copla china.",Es tan malo.,2.3333333333333335
"¿Algo malo con eso?
Sí. Cuando lo extendí de vuelta a casa, encontré este agujero.",¿Cómo crees que es?,"¿Algo malo con eso?
Sí. Cuando lo extendí de vuelta a casa, encontré este agujero.",¿Cómo crees que es?,"¿Algo malo con eso?
Sí. Cuando lo extendí de vuelta a casa, encontré este agujero.",¿Cómo crees que es?,"¿Algo malo con eso?
Sí. Cuando lo extendí de vuelta a casa, encontré este agujero.",¿Cómo crees que es?,"¿Algo malo con eso?
Sí. Cuando lo extendí de vuelta a casa, encontré este agujero.",¿Cómo crees que es?,"¿Algo malo con eso?
Sí. Cuando lo extendí de vuelta a casa, encontré este agujero.",¿Cómo crees que es?,"¿Algo malo con eso?
Sí. Cuando lo extendí de vuelta a casa, encontré este agujero.",¿Cómo crees que es?,"¿Algo malo con eso?
Sí. Cuando lo extendí de vuelta a casa, encontré este agujero.",¿Cómo crees que es?,"¿Algo malo con eso?
Sí. Cuando lo extendí de vuelta a casa, encontré este agujero.",¿Cómo crees que es?,"¿Algo malo con eso?
Sí. Cuando lo extendí de vuelta a casa, encontré este agujero.",¿Cómo crees que es?,2.3333333333333335
"El servicio no ayudó a la situación.
¿Es este un restaurante al que quieres volver?",Me temo que no puedo hacerlo.,"El servicio no ayudó a la situación.
¿Es este un restaurante al que quieres volver?",Me temo que no puedo hacerlo.,"El servicio no ayudó a la situación.
¿Es este un restaurante al que quieres volver?",Me temo que no puedo hacerlo.,"El servicio no ayudó a la situación.
¿Es este un restaurante al que quieres volver?",Me temo que no puedo hacerlo.,"El servicio no ayudó a la situación.
¿Es este un restaurante al que quieres volver?",Me temo que no puedo hacerlo.,"El servicio no ayudó a la situación.
¿Es este un restaurante al que quieres volver?",Me temo que no puedo hacerlo.,"El servicio no ayudó a la situación.
¿Es este un restaurante al que quieres volver?",Me temo que no puedo hacerlo.,"El servicio no ayudó a la situación.
¿Es este un restaurante al que quieres volver?",Me temo que no puedo hacerlo.,"El servicio no ayudó a la situación.
¿Es este un restaurante al que quieres volver?",Me temo que no puedo hacerlo.,"El servicio no ayudó a la situación.
¿Es este un restaurante al que quieres volver?",Me temo que no puedo hacerlo.,2.5555555555555554
