arabic_ctx,arabic_res,chinese_ctx,chinese_res,english_ctx,english_res,french_ctx,french_res,german_ctx,german_res,hindi_ctx,hindi_res,japanese_ctx,japanese_res,korean_ctx,korean_res,russian_ctx,russian_res,spanish_ctx,spanish_res,ratings
"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","efectivo, tarjeta de crédito o tarjeta de débito?","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","efectivo, tarjeta de crédito o tarjeta de débito?","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","efectivo, tarjeta de crédito o tarjeta de débito?","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","efectivo, tarjeta de crédito o tarjeta de débito?","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","efectivo, tarjeta de crédito o tarjeta de débito?","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","efectivo, tarjeta de crédito o tarjeta de débito?","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","efectivo, tarjeta de crédito o tarjeta de débito?","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","efectivo, tarjeta de crédito o tarjeta de débito?","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","efectivo, tarjeta de crédito o tarjeta de débito?","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","efectivo, tarjeta de crédito o tarjeta de débito?",5.0
"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",¿Tiene dirección?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",¿Tiene dirección?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",¿Tiene dirección?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",¿Tiene dirección?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",¿Tiene dirección?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",¿Tiene dirección?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",¿Tiene dirección?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",¿Tiene dirección?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",¿Tiene dirección?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",¿Tiene dirección?,2.5
"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Ya estás aquí.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Ya estás aquí.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Ya estás aquí.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Ya estás aquí.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Ya estás aquí.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Ya estás aquí.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Ya estás aquí.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Ya estás aquí.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Ya estás aquí.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Ya estás aquí.,3.75
"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Lo siento mucho. Olvidé rellenar el formulario.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Lo siento mucho. Olvidé rellenar el formulario.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Lo siento mucho. Olvidé rellenar el formulario.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Lo siento mucho. Olvidé rellenar el formulario.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Lo siento mucho. Olvidé rellenar el formulario.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Lo siento mucho. Olvidé rellenar el formulario.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Lo siento mucho. Olvidé rellenar el formulario.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Lo siento mucho. Olvidé rellenar el formulario.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Lo siento mucho. Olvidé rellenar el formulario.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Lo siento mucho. Olvidé rellenar el formulario.,2.25
"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Vale. Volveré en unos 3 minutos.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Vale. Volveré en unos 3 minutos.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Vale. Volveré en unos 3 minutos.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Vale. Volveré en unos 3 minutos.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Vale. Volveré en unos 3 minutos.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Vale. Volveré en unos 3 minutos.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Vale. Volveré en unos 3 minutos.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Vale. Volveré en unos 3 minutos.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Vale. Volveré en unos 3 minutos.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",Vale. Volveré en unos 3 minutos.,3.25
"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","Vale, gracias.","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","Vale, gracias.","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","Vale, gracias.","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","Vale, gracias.","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","Vale, gracias.","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","Vale, gracias.","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","Vale, gracias.","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","Vale, gracias.","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","Vale, gracias.","bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.","Vale, gracias.",3.75
"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,4.25
"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",De acuerdo.,3.5
"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",tenemos carpetas con listados de trabajo locales o puede hacer uso de las computadoras. ¿De acuerdo?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",tenemos carpetas con listados de trabajo locales o puede hacer uso de las computadoras. ¿De acuerdo?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",tenemos carpetas con listados de trabajo locales o puede hacer uso de las computadoras. ¿De acuerdo?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",tenemos carpetas con listados de trabajo locales o puede hacer uso de las computadoras. ¿De acuerdo?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",tenemos carpetas con listados de trabajo locales o puede hacer uso de las computadoras. ¿De acuerdo?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",tenemos carpetas con listados de trabajo locales o puede hacer uso de las computadoras. ¿De acuerdo?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",tenemos carpetas con listados de trabajo locales o puede hacer uso de las computadoras. ¿De acuerdo?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",tenemos carpetas con listados de trabajo locales o puede hacer uso de las computadoras. ¿De acuerdo?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",tenemos carpetas con listados de trabajo locales o puede hacer uso de las computadoras. ¿De acuerdo?,"bueno, ¿cómo se ve?
es un ajuste perfecto.
déjame pagarlo ahora.",tenemos carpetas con listados de trabajo locales o puede hacer uso de las computadoras. ¿De acuerdo?,2.0
"¿Puedo ayudarle, señor?
Hola, ¿puedo hacer una cita para algún momento temprano esta tarde?
Lo siento. todas las citas se llenan.","oh, qué lástima. Me gustaría ver al médico lo antes posible. Tengo un dolor agudo en el pecho.","¿Puedo ayudarle, señor?
Hola, ¿puedo hacer una cita para algún momento temprano esta tarde?
Lo siento. todas las citas se llenan.","oh, qué lástima. Me gustaría ver al médico lo antes posible. Tengo un dolor agudo en el pecho.","¿Puedo ayudarle, señor?
Hola, ¿puedo hacer una cita para algún momento temprano esta tarde?
Lo siento. todas las citas se llenan.","oh, qué lástima. Me gustaría ver al médico lo antes posible. Tengo un dolor agudo en el pecho.","¿Puedo ayudarle, señor?
Hola, ¿puedo hacer una cita para algún momento temprano esta tarde?
Lo siento. todas las citas se llenan.","oh, qué lástima. Me gustaría ver al médico lo antes posible. Tengo un dolor agudo en el pecho.","¿Puedo ayudarle, señor?
Hola, ¿puedo hacer una cita para algún momento temprano esta tarde?
Lo siento. todas las citas se llenan.","oh, qué lástima. Me gustaría ver al médico lo antes posible. Tengo un dolor agudo en el pecho.","¿Puedo ayudarle, señor?
Hola, ¿puedo hacer una cita para algún momento temprano esta tarde?
Lo siento. todas las citas se llenan.","oh, qué lástima. Me gustaría ver al médico lo antes posible. Tengo un dolor agudo en el pecho.","¿Puedo ayudarle, señor?
Hola, ¿puedo hacer una cita para algún momento temprano esta tarde?
Lo siento. todas las citas se llenan.","oh, qué lástima. Me gustaría ver al médico lo antes posible. Tengo un dolor agudo en el pecho.","¿Puedo ayudarle, señor?
Hola, ¿puedo hacer una cita para algún momento temprano esta tarde?
Lo siento. todas las citas se llenan.","oh, qué lástima. Me gustaría ver al médico lo antes posible. Tengo un dolor agudo en el pecho.","¿Puedo ayudarle, señor?
Hola, ¿puedo hacer una cita para algún momento temprano esta tarde?
Lo siento. todas las citas se llenan.","oh, qué lástima. Me gustaría ver al médico lo antes posible. Tengo un dolor agudo en el pecho.","¿Puedo ayudarle, señor?
Hola, ¿puedo hacer una cita para algún momento temprano esta tarde?
Lo siento. todas las citas se llenan.","oh, qué lástima. Me gustaría ver al médico lo antes posible. Tengo un dolor agudo en el pecho.",4.25
