arabic_ctx,arabic_res,chinese_ctx,chinese_res,english_ctx,english_res,french_ctx,french_res,german_ctx,german_res,hindi_ctx,hindi_res,japanese_ctx,japanese_res,korean_ctx,korean_res,russian_ctx,russian_res,spanish_ctx,spanish_res,ratings
"Alguien me dejó hacer cola en la tienda para que pudiera salir más rápido.
wow que fue muy agradable de ellos",Eso está estupendo,"Alguien me dejó hacer cola en la tienda para que pudiera salir más rápido.
wow que fue muy agradable de ellos",Eso está estupendo,"Alguien me dejó hacer cola en la tienda para que pudiera salir más rápido.
wow que fue muy agradable de ellos",Eso está estupendo,"Alguien me dejó hacer cola en la tienda para que pudiera salir más rápido.
wow que fue muy agradable de ellos",Eso está estupendo,"Alguien me dejó hacer cola en la tienda para que pudiera salir más rápido.
wow que fue muy agradable de ellos",Eso está estupendo,"Alguien me dejó hacer cola en la tienda para que pudiera salir más rápido.
wow que fue muy agradable de ellos",Eso está estupendo,"Alguien me dejó hacer cola en la tienda para que pudiera salir más rápido.
wow que fue muy agradable de ellos",Eso está estupendo,"Alguien me dejó hacer cola en la tienda para que pudiera salir más rápido.
wow que fue muy agradable de ellos",Eso está estupendo,"Alguien me dejó hacer cola en la tienda para que pudiera salir más rápido.
wow que fue muy agradable de ellos",Eso está estupendo,"Alguien me dejó hacer cola en la tienda para que pudiera salir más rápido.
wow que fue muy agradable de ellos",Eso está estupendo,3.3
"Mi domingo fue genial. Todas mis tareas se hicieron con anticipación. Fue un día raro y bienvenido.
eso es increíble. los domingos suelen ser mis días de descanso.","oh, eso es genial","Mi domingo fue genial. Todas mis tareas se hicieron con anticipación. Fue un día raro y bienvenido.
eso es increíble. los domingos suelen ser mis días de descanso.","oh, eso es genial","Mi domingo fue genial. Todas mis tareas se hicieron con anticipación. Fue un día raro y bienvenido.
eso es increíble. los domingos suelen ser mis días de descanso.","oh, eso es genial","Mi domingo fue genial. Todas mis tareas se hicieron con anticipación. Fue un día raro y bienvenido.
eso es increíble. los domingos suelen ser mis días de descanso.","oh, eso es genial","Mi domingo fue genial. Todas mis tareas se hicieron con anticipación. Fue un día raro y bienvenido.
eso es increíble. los domingos suelen ser mis días de descanso.","oh, eso es genial","Mi domingo fue genial. Todas mis tareas se hicieron con anticipación. Fue un día raro y bienvenido.
eso es increíble. los domingos suelen ser mis días de descanso.","oh, eso es genial","Mi domingo fue genial. Todas mis tareas se hicieron con anticipación. Fue un día raro y bienvenido.
eso es increíble. los domingos suelen ser mis días de descanso.","oh, eso es genial","Mi domingo fue genial. Todas mis tareas se hicieron con anticipación. Fue un día raro y bienvenido.
eso es increíble. los domingos suelen ser mis días de descanso.","oh, eso es genial","Mi domingo fue genial. Todas mis tareas se hicieron con anticipación. Fue un día raro y bienvenido.
eso es increíble. los domingos suelen ser mis días de descanso.","oh, eso es genial","Mi domingo fue genial. Todas mis tareas se hicieron con anticipación. Fue un día raro y bienvenido.
eso es increíble. los domingos suelen ser mis días de descanso.","oh, eso es genial",3.3
"Bueno, se necesita perseverancia y un poco de suerte, ¡pero puedes hacerlo!
El trabajo de mis sueños es nacer rico. Es demasiado tarde para eso",Eso está estupendo,"Bueno, se necesita perseverancia y un poco de suerte, ¡pero puedes hacerlo!
El trabajo de mis sueños es nacer rico. Es demasiado tarde para eso",Eso está estupendo,"Bueno, se necesita perseverancia y un poco de suerte, ¡pero puedes hacerlo!
El trabajo de mis sueños es nacer rico. Es demasiado tarde para eso",Eso está estupendo,"Bueno, se necesita perseverancia y un poco de suerte, ¡pero puedes hacerlo!
El trabajo de mis sueños es nacer rico. Es demasiado tarde para eso",Eso está estupendo,"Bueno, se necesita perseverancia y un poco de suerte, ¡pero puedes hacerlo!
El trabajo de mis sueños es nacer rico. Es demasiado tarde para eso",Eso está estupendo,"Bueno, se necesita perseverancia y un poco de suerte, ¡pero puedes hacerlo!
El trabajo de mis sueños es nacer rico. Es demasiado tarde para eso",Eso está estupendo,"Bueno, se necesita perseverancia y un poco de suerte, ¡pero puedes hacerlo!
El trabajo de mis sueños es nacer rico. Es demasiado tarde para eso",Eso está estupendo,"Bueno, se necesita perseverancia y un poco de suerte, ¡pero puedes hacerlo!
El trabajo de mis sueños es nacer rico. Es demasiado tarde para eso",Eso está estupendo,"Bueno, se necesita perseverancia y un poco de suerte, ¡pero puedes hacerlo!
El trabajo de mis sueños es nacer rico. Es demasiado tarde para eso",Eso está estupendo,"Bueno, se necesita perseverancia y un poco de suerte, ¡pero puedes hacerlo!
El trabajo de mis sueños es nacer rico. Es demasiado tarde para eso",Eso está estupendo,2.7
"Siempre siento que nadie me escucha. Como cuando hablo cae en saco roto.
Es una. ¿Tal vez es hora de conseguir nuevos amigos?",. . . . . . . . . . . . . . . . . . . . . .,"Siempre siento que nadie me escucha. Como cuando hablo cae en saco roto.
Es una. ¿Tal vez es hora de conseguir nuevos amigos?",. . . . . . . . . . . . . . . . . . . . . .,"Siempre siento que nadie me escucha. Como cuando hablo cae en saco roto.
Es una. ¿Tal vez es hora de conseguir nuevos amigos?",. . . . . . . . . . . . . . . . . . . . . .,"Siempre siento que nadie me escucha. Como cuando hablo cae en saco roto.
Es una. ¿Tal vez es hora de conseguir nuevos amigos?",. . . . . . . . . . . . . . . . . . . . . .,"Siempre siento que nadie me escucha. Como cuando hablo cae en saco roto.
Es una. ¿Tal vez es hora de conseguir nuevos amigos?",. . . . . . . . . . . . . . . . . . . . . .,"Siempre siento que nadie me escucha. Como cuando hablo cae en saco roto.
Es una. ¿Tal vez es hora de conseguir nuevos amigos?",. . . . . . . . . . . . . . . . . . . . . .,"Siempre siento que nadie me escucha. Como cuando hablo cae en saco roto.
Es una. ¿Tal vez es hora de conseguir nuevos amigos?",. . . . . . . . . . . . . . . . . . . . . .,"Siempre siento que nadie me escucha. Como cuando hablo cae en saco roto.
Es una. ¿Tal vez es hora de conseguir nuevos amigos?",. . . . . . . . . . . . . . . . . . . . . .,"Siempre siento que nadie me escucha. Como cuando hablo cae en saco roto.
Es una. ¿Tal vez es hora de conseguir nuevos amigos?",. . . . . . . . . . . . . . . . . . . . . .,"Siempre siento que nadie me escucha. Como cuando hablo cae en saco roto.
Es una. ¿Tal vez es hora de conseguir nuevos amigos?",. . . . . . . . . . . . . . . . . . . . . .,2.6
"Cuando miro a mi hijo de 21 años, a menudo reflexiono sobre cuándo era más pequeño. ¡El tiempo realmente vuela!
El tiempo seguro que vuela y el cambio es inevitable",Eso está estupendo,"Cuando miro a mi hijo de 21 años, a menudo reflexiono sobre cuándo era más pequeño. ¡El tiempo realmente vuela!
El tiempo seguro que vuela y el cambio es inevitable",Eso está estupendo,"Cuando miro a mi hijo de 21 años, a menudo reflexiono sobre cuándo era más pequeño. ¡El tiempo realmente vuela!
El tiempo seguro que vuela y el cambio es inevitable",Eso está estupendo,"Cuando miro a mi hijo de 21 años, a menudo reflexiono sobre cuándo era más pequeño. ¡El tiempo realmente vuela!
El tiempo seguro que vuela y el cambio es inevitable",Eso está estupendo,"Cuando miro a mi hijo de 21 años, a menudo reflexiono sobre cuándo era más pequeño. ¡El tiempo realmente vuela!
El tiempo seguro que vuela y el cambio es inevitable",Eso está estupendo,"Cuando miro a mi hijo de 21 años, a menudo reflexiono sobre cuándo era más pequeño. ¡El tiempo realmente vuela!
El tiempo seguro que vuela y el cambio es inevitable",Eso está estupendo,"Cuando miro a mi hijo de 21 años, a menudo reflexiono sobre cuándo era más pequeño. ¡El tiempo realmente vuela!
El tiempo seguro que vuela y el cambio es inevitable",Eso está estupendo,"Cuando miro a mi hijo de 21 años, a menudo reflexiono sobre cuándo era más pequeño. ¡El tiempo realmente vuela!
El tiempo seguro que vuela y el cambio es inevitable",Eso está estupendo,"Cuando miro a mi hijo de 21 años, a menudo reflexiono sobre cuándo era más pequeño. ¡El tiempo realmente vuela!
El tiempo seguro que vuela y el cambio es inevitable",Eso está estupendo,"Cuando miro a mi hijo de 21 años, a menudo reflexiono sobre cuándo era más pequeño. ¡El tiempo realmente vuela!
El tiempo seguro que vuela y el cambio es inevitable",Eso está estupendo,2.4
"Estaba emocionado cuando compré mi auto
¡eso es emocionante! ¿Qué tipo de coche?",. . . . . . . . . . . . . . . . . . .,"Estaba emocionado cuando compré mi auto
¡eso es emocionante! ¿Qué tipo de coche?",. . . . . . . . . . . . . . . . . . .,"Estaba emocionado cuando compré mi auto
¡eso es emocionante! ¿Qué tipo de coche?",. . . . . . . . . . . . . . . . . . .,"Estaba emocionado cuando compré mi auto
¡eso es emocionante! ¿Qué tipo de coche?",. . . . . . . . . . . . . . . . . . .,"Estaba emocionado cuando compré mi auto
¡eso es emocionante! ¿Qué tipo de coche?",. . . . . . . . . . . . . . . . . . .,"Estaba emocionado cuando compré mi auto
¡eso es emocionante! ¿Qué tipo de coche?",. . . . . . . . . . . . . . . . . . .,"Estaba emocionado cuando compré mi auto
¡eso es emocionante! ¿Qué tipo de coche?",. . . . . . . . . . . . . . . . . . .,"Estaba emocionado cuando compré mi auto
¡eso es emocionante! ¿Qué tipo de coche?",. . . . . . . . . . . . . . . . . . .,"Estaba emocionado cuando compré mi auto
¡eso es emocionante! ¿Qué tipo de coche?",. . . . . . . . . . . . . . . . . . .,"Estaba emocionado cuando compré mi auto
¡eso es emocionante! ¿Qué tipo de coche?",. . . . . . . . . . . . . . . . . . .,3.0
"Un perro me persiguió por una calle el otro día
¿Te atrapó?","oh, eso es genial","Un perro me persiguió por una calle el otro día
¿Te atrapó?","oh, eso es genial","Un perro me persiguió por una calle el otro día
¿Te atrapó?","oh, eso es genial","Un perro me persiguió por una calle el otro día
¿Te atrapó?","oh, eso es genial","Un perro me persiguió por una calle el otro día
¿Te atrapó?","oh, eso es genial","Un perro me persiguió por una calle el otro día
¿Te atrapó?","oh, eso es genial","Un perro me persiguió por una calle el otro día
¿Te atrapó?","oh, eso es genial","Un perro me persiguió por una calle el otro día
¿Te atrapó?","oh, eso es genial","Un perro me persiguió por una calle el otro día
¿Te atrapó?","oh, eso es genial","Un perro me persiguió por una calle el otro día
¿Te atrapó?","oh, eso es genial",2.4
"Hace un año, encontré un gatito herido en la carretera mientras conducía.
¡No! ¿Llevaste al gatito a un hospital de animales o lo cuidaste tú mismo?",¡¡¡¡¡¡¡¡¡¡ ! ! ! ! ! ! ! ! ! ! !,"Hace un año, encontré un gatito herido en la carretera mientras conducía.
¡No! ¿Llevaste al gatito a un hospital de animales o lo cuidaste tú mismo?",¡¡¡¡¡¡¡¡¡¡ ! ! ! ! ! ! ! ! ! ! !,"Hace un año, encontré un gatito herido en la carretera mientras conducía.
¡No! ¿Llevaste al gatito a un hospital de animales o lo cuidaste tú mismo?",¡¡¡¡¡¡¡¡¡¡ ! ! ! ! ! ! ! ! ! ! !,"Hace un año, encontré un gatito herido en la carretera mientras conducía.
¡No! ¿Llevaste al gatito a un hospital de animales o lo cuidaste tú mismo?",¡¡¡¡¡¡¡¡¡¡ ! ! ! ! ! ! ! ! ! ! !,"Hace un año, encontré un gatito herido en la carretera mientras conducía.
¡No! ¿Llevaste al gatito a un hospital de animales o lo cuidaste tú mismo?",¡¡¡¡¡¡¡¡¡¡ ! ! ! ! ! ! ! ! ! ! !,"Hace un año, encontré un gatito herido en la carretera mientras conducía.
¡No! ¿Llevaste al gatito a un hospital de animales o lo cuidaste tú mismo?",¡¡¡¡¡¡¡¡¡¡ ! ! ! ! ! ! ! ! ! ! !,"Hace un año, encontré un gatito herido en la carretera mientras conducía.
¡No! ¿Llevaste al gatito a un hospital de animales o lo cuidaste tú mismo?",¡¡¡¡¡¡¡¡¡¡ ! ! ! ! ! ! ! ! ! ! !,"Hace un año, encontré un gatito herido en la carretera mientras conducía.
¡No! ¿Llevaste al gatito a un hospital de animales o lo cuidaste tú mismo?",¡¡¡¡¡¡¡¡¡¡ ! ! ! ! ! ! ! ! ! ! !,"Hace un año, encontré un gatito herido en la carretera mientras conducía.
¡No! ¿Llevaste al gatito a un hospital de animales o lo cuidaste tú mismo?",¡¡¡¡¡¡¡¡¡¡ ! ! ! ! ! ! ! ! ! ! !,"Hace un año, encontré un gatito herido en la carretera mientras conducía.
¡No! ¿Llevaste al gatito a un hospital de animales o lo cuidaste tú mismo?",¡¡¡¡¡¡¡¡¡¡ ! ! ! ! ! ! ! ! ! ! !,2.4
"¡Omg! Eso es terrible. Realmente deben ser considerados con el tiempo de las personas.
No me habría importado tanto si realmente pareciera importarle.  Si te hacen esperar y luego pasar mucho tiempo contigo, eso es una cosa",eso es algo bueno que hacer,"¡Omg! Eso es terrible. Realmente deben ser considerados con el tiempo de las personas.
No me habría importado tanto si realmente pareciera importarle.  Si te hacen esperar y luego pasar mucho tiempo contigo, eso es una cosa",eso es algo bueno que hacer,"¡Omg! Eso es terrible. Realmente deben ser considerados con el tiempo de las personas.
No me habría importado tanto si realmente pareciera importarle.  Si te hacen esperar y luego pasar mucho tiempo contigo, eso es una cosa",eso es algo bueno que hacer,"¡Omg! Eso es terrible. Realmente deben ser considerados con el tiempo de las personas.
No me habría importado tanto si realmente pareciera importarle.  Si te hacen esperar y luego pasar mucho tiempo contigo, eso es una cosa",eso es algo bueno que hacer,"¡Omg! Eso es terrible. Realmente deben ser considerados con el tiempo de las personas.
No me habría importado tanto si realmente pareciera importarle.  Si te hacen esperar y luego pasar mucho tiempo contigo, eso es una cosa",eso es algo bueno que hacer,"¡Omg! Eso es terrible. Realmente deben ser considerados con el tiempo de las personas.
No me habría importado tanto si realmente pareciera importarle.  Si te hacen esperar y luego pasar mucho tiempo contigo, eso es una cosa",eso es algo bueno que hacer,"¡Omg! Eso es terrible. Realmente deben ser considerados con el tiempo de las personas.
No me habría importado tanto si realmente pareciera importarle.  Si te hacen esperar y luego pasar mucho tiempo contigo, eso es una cosa",eso es algo bueno que hacer,"¡Omg! Eso es terrible. Realmente deben ser considerados con el tiempo de las personas.
No me habría importado tanto si realmente pareciera importarle.  Si te hacen esperar y luego pasar mucho tiempo contigo, eso es una cosa",eso es algo bueno que hacer,"¡Omg! Eso es terrible. Realmente deben ser considerados con el tiempo de las personas.
No me habría importado tanto si realmente pareciera importarle.  Si te hacen esperar y luego pasar mucho tiempo contigo, eso es una cosa",eso es algo bueno que hacer,"¡Omg! Eso es terrible. Realmente deben ser considerados con el tiempo de las personas.
No me habría importado tanto si realmente pareciera importarle.  Si te hacen esperar y luego pasar mucho tiempo contigo, eso es una cosa",eso es algo bueno que hacer,3.2
"Estaba planeando mi boda y tratando de conseguir un servicio de catering.  El que estábamos viendo era ignorar por completo cada vez que mi esposa intentaba comunicarse con ellos, hasta el punto de que los despedí y me fui con otra persona.
Parece que tomaste la decisión correcta.  Qué montón de agujeros A","oh, eso es genial","Estaba planeando mi boda y tratando de conseguir un servicio de catering.  El que estábamos viendo era ignorar por completo cada vez que mi esposa intentaba comunicarse con ellos, hasta el punto de que los despedí y me fui con otra persona.
Parece que tomaste la decisión correcta.  Qué montón de agujeros A","oh, eso es genial","Estaba planeando mi boda y tratando de conseguir un servicio de catering.  El que estábamos viendo era ignorar por completo cada vez que mi esposa intentaba comunicarse con ellos, hasta el punto de que los despedí y me fui con otra persona.
Parece que tomaste la decisión correcta.  Qué montón de agujeros A","oh, eso es genial","Estaba planeando mi boda y tratando de conseguir un servicio de catering.  El que estábamos viendo era ignorar por completo cada vez que mi esposa intentaba comunicarse con ellos, hasta el punto de que los despedí y me fui con otra persona.
Parece que tomaste la decisión correcta.  Qué montón de agujeros A","oh, eso es genial","Estaba planeando mi boda y tratando de conseguir un servicio de catering.  El que estábamos viendo era ignorar por completo cada vez que mi esposa intentaba comunicarse con ellos, hasta el punto de que los despedí y me fui con otra persona.
Parece que tomaste la decisión correcta.  Qué montón de agujeros A","oh, eso es genial","Estaba planeando mi boda y tratando de conseguir un servicio de catering.  El que estábamos viendo era ignorar por completo cada vez que mi esposa intentaba comunicarse con ellos, hasta el punto de que los despedí y me fui con otra persona.
Parece que tomaste la decisión correcta.  Qué montón de agujeros A","oh, eso es genial","Estaba planeando mi boda y tratando de conseguir un servicio de catering.  El que estábamos viendo era ignorar por completo cada vez que mi esposa intentaba comunicarse con ellos, hasta el punto de que los despedí y me fui con otra persona.
Parece que tomaste la decisión correcta.  Qué montón de agujeros A","oh, eso es genial","Estaba planeando mi boda y tratando de conseguir un servicio de catering.  El que estábamos viendo era ignorar por completo cada vez que mi esposa intentaba comunicarse con ellos, hasta el punto de que los despedí y me fui con otra persona.
Parece que tomaste la decisión correcta.  Qué montón de agujeros A","oh, eso es genial","Estaba planeando mi boda y tratando de conseguir un servicio de catering.  El que estábamos viendo era ignorar por completo cada vez que mi esposa intentaba comunicarse con ellos, hasta el punto de que los despedí y me fui con otra persona.
Parece que tomaste la decisión correcta.  Qué montón de agujeros A","oh, eso es genial","Estaba planeando mi boda y tratando de conseguir un servicio de catering.  El que estábamos viendo era ignorar por completo cada vez que mi esposa intentaba comunicarse con ellos, hasta el punto de que los despedí y me fui con otra persona.
Parece que tomaste la decisión correcta.  Qué montón de agujeros A","oh, eso es genial",2.7
