arabic_ctx,arabic_res,chinese_ctx,chinese_res,english_ctx,english_res,french_ctx,french_res,german_ctx,german_res,hindi_ctx,hindi_res,japanese_ctx,japanese_res,korean_ctx,korean_res,russian_ctx,russian_res,spanish_ctx,spanish_res,ratings
مرحبا كيف تسير هناك؟,مرحبا أنا بخير . كان مجرد قراءة كتاب في محاولة للاسترخاء.,嗨，那边怎么样？,嗨，我很好。只是在看一本书想放松一下。,hi how is it going over there ?,hi i'm doing good . was just reading a book trying to relax .,Salut comment ça se passe là-bas ?,Salut je vais bien. Je lisais juste un livre en essayant de se détendre.,"Hallo, wie geht's da drüben zu?","Hallo, mir geht es gut. Ich habe gerade ein Buch gelesen, um mich zu entspannen.","हाय, यह वहाँ कैसे चल रहा है?",हाय मैं अच्छा कर रहा हूँ. मैं बस एक किताब पढ़ रहा था और आराम करने की कोशिश कर रहा था।,こんにちは、それはどのようにそこに行くのですか?,こんにちは私はうまくやっています.リラックスしようとして本を読んでいただけです.,안녕하세요 저기는 어때요?,안녕하세요 잘하고 있습니다 . 긴장을 풀려고 책을 읽고있었습니다.,"привет, как это происходит там?","привет, я делаю добро. просто читал книгу, пытаясь расслабиться.",hola como va por allá?,hola lo estoy haciendo bien. estaba leyendo un libro tratando de relajarse.,4.0
مرحبا كيف تسير هناك؟,أنا بخير . ماذا عنك؟,嗨，那边怎么样？,我过得很好。你呢？,hi how is it going over there ?,i'm doing well . how about you ?,Salut comment ça se passe là-bas ?,Je vais bien. Et toi?,"Hallo, wie geht's da drüben zu?",Mir geht es gut. Wie steht es mit dir?,"हाय, यह वहाँ कैसे चल रहा है?",मैं अच्छा कर रहा हूँ. तुम्हारा कैसा चल रहा है?,こんにちは、それはどのようにそこに行くのですか?,元気です。あなたはどうですか。,안녕하세요 저기는 어때요?,나는 잘하고있다 . 당신은 어떠세요?,"привет, как это происходит там?",У меня всё хорошо. А ты?,hola como va por allá?,Estoy bien. ¿Y tú?,4.75
مرحبا كيف تسير هناك؟,جيد. كيف كانت عطلة نهاية الأسبوع الخاصة بك؟,嗨，那边怎么样？,很好。周末过得怎么样？,hi how is it going over there ?,good . how was your weekend ?,Salut comment ça se passe là-bas ?,bon. Comment s’est passé votre week-end ?,"Hallo, wie geht's da drüben zu?",gut. Wie war dein Wochenende?,"हाय, यह वहाँ कैसे चल रहा है?",अच्छा। आपका वीकेंड कैसा था?,こんにちは、それはどのようにそこに行くのですか?,よし。週末はいかがでしたか?,안녕하세요 저기는 어때요?,좋다. 주말은 어땠어?,"привет, как это происходит там?",хороший. как прошли ваши выходные?,hola como va por allá?,bien. ¿cómo estuvo su fin de semana?,4.5
مرحبا كيف تسير هناك؟,مرحبا! أنا بخير. كيف حالك؟,嗨，那边怎么样？,嗨！我很好。你好吗？,hi how is it going over there ?,hi ! i am good . how are you ?,Salut comment ça se passe là-bas ?,Salut! Je vais bien. Comment vas-tu?,"Hallo, wie geht's da drüben zu?",Hallo! Mir geht es gut. Wie geht es dir?,"हाय, यह वहाँ कैसे चल रहा है?",नमस्ते! मैं अच्छा/अच्छी हूँ। तुम कैसे हो?,こんにちは、それはどのようにそこに行くのですか?,こんにちは！元気です。お元気ですか。,안녕하세요 저기는 어때요?,안녕! 잘 지냅니다. 어떻게 지내세요?,"привет, как это происходит там?",Привет! Я в порядке. Как Ваши дела?,hola como va por allá?,¡hola! Soy bueno. ¿Cómo estás?,4.5
مرحبا كيف تسير هناك؟,تسير على ما يرام. لقد انتهيت للتو من فصل اليوجا الخاص بي.,嗨，那边怎么样？,一切都很顺利。我刚上完瑜伽课。,hi how is it going over there ?,its going good . just got done with my yoga class .,Salut comment ça se passe là-bas ?,ça va bien. Je viens de terminer mon cours de yoga.,"Hallo, wie geht's da drüben zu?",Es läuft gut. Ich bin gerade mit meinem Yoga-Kurs fertig.,"हाय, यह वहाँ कैसे चल रहा है?",यह अच्छा चल रहा है. अभी-अभी मेरी योग कक्षा पूरी हुई है।,こんにちは、それはどのようにそこに行くのですか?,それはうまくいっています.ちょうど私のヨガのクラスを終えました.,안녕하세요 저기는 어때요?,잘 가고 있습니다. 방금 요가 수업을 마쳤습니다.,"привет, как это происходит там?",все идет хорошо. только что закончил с моим классом йоги.,hola como va por allá?,va bien. acabo de terminar con mi clase de yoga.,3.75
مرحبا كيف تسير هناك؟,جميل ، أنا من كولورادو,嗨，那边怎么样？,太好了，我来自科罗拉多州,hi how is it going over there ?,"nice , i'm from colorado",Salut comment ça se passe là-bas ?,"Sympa, je viens du Colorado","Hallo, wie geht's da drüben zu?","Schön, ich komme aus Colorado","हाय, यह वहाँ कैसे चल रहा है?","अच्छा, मैं कोलोराडो से हूँ",こんにちは、それはどのようにそこに行くのですか?,ニース、私はコロラド出身です,안녕하세요 저기는 어때요?,"좋아요, 저는 콜로라도 출신입니다.","привет, как это происходит там?","хороший, я из Колорадо",hola como va por allá?,"agradable, soy de colorado",2.25
"ما نوع الأطعمة التي تحبها
أنا أحب جميع أنواع الأطعمة . التقليدية والعرقية الأمريكية .
أنا أحب سندويشات التاكو فهي الشيء المفضل لدي لصنعه
بعد العمل في محطة وقود ، حتى أنني أحب طعامها.
نعم يمكن أن يكون جيدا في بعض الأحيان هل هناك أي أماكن تاكو جيدة بالقرب منك",نعم ، هناك العديد من مواقع التاكو بالقرب مني.,"你喜欢吃什么食物？
我喜欢所有的食物，美国传统的和民族的。
我喜欢玉米饼，它们是我最喜欢做的东西
在加油站工作后，我甚至喜欢那里的食物。
是的，有时候会很好吃，你附近有没有好吃的玉米饼店",是的，我附近有几家墨西哥卷饼店。,"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you","yes , there are several taco spots near me .","Quel genre d’aliments aimez-vous
J’aime toutes sortes d’aliments ; Traditionnel américain et ethnique.
J’adore les tacos, c’est ce que je préfère faire
Après avoir travaillé dans une station-service, j’aime même sa nourriture.
Oui, cela peut être bon parfois, y a-t-il de bons endroits pour tacos près de chez vous?","Oui, il y a plusieurs endroits de tacos près de chez moi.","Welche Art von Lebensmitteln mögen Sie?
Ich mag alle Arten von Lebensmitteln; Amerikanisch traditionell und ethnisch.
Ich liebe Tacos, sie sind meine Lieblingsbeschäftigung
Nachdem ich in einer Tankstelle gearbeitet habe, mag ich sogar das Essen.
Ja, es kann manchmal gut sein, gibt es gute Taco-Spots in Ihrer Nähe?","Ja, es gibt mehrere Taco-Spots in meiner Nähe.","आपको किस तरह के खाद्य पदार्थ पसंद हैं
मुझे सभी प्रकार के खाद्य पदार्थ पसंद हैं; अमेरिकी पारंपरिक और जातीय।
मुझे टैकोस पसंद है, वे बनाने के लिए मेरी पसंदीदा चीज हैं
गैस स्टेशन में काम करने के बाद मुझे उसका खाना भी पसंद है .
हां यह अच्छा हो सकता है कभी-कभी क्या आपके आस-पास कोई अच्छा टैको स्पॉट होता है?","हां, मेरे पास कई टैको स्पॉट हैं।","どんな食べ物が好きですか
私はあらゆる種類の食べ物が好きです。アメリカの伝統的および民族的.
私はタコスが大好きで、彼らは私のお気に入りのものです
ガソリンスタンドで働いた後、私はその食べ物さえ好きです。
はい、それは時々良いことができますあなたの近くに良いタコススポットはありますか",ええ、私の近くにいくつかのタコススポットがあります。,"어떤 음식을 좋아하세요
나는 모든 종류의 음식을 좋아한다. 미국의 전통과 민족.
나는 그들이 내가 가장 좋아하는 타코를 좋아한다
주유소에서 일한 후, 나는 심지어 그 음식을 좋아합니다.
예, 때로는 좋을 수 있습니다 근처에 좋은 타코 명소가 있습니까?","예, 내 근처에 여러 타코 명소가 있습니다.","какие продукты вам нравятся
Я люблю все виды продуктов; американские традиционные и этнические.
Я люблю тако, они моя любимая вещь для приготовления
после работы на заправке, мне даже нравится ее еда.
Да, это может быть хорошо, иногда есть ли хорошие места тако рядом с вами","Да, рядом со мной есть несколько мест тако.","¿Qué tipo de alimentos te gustan?
me gustan todo tipo de alimentos; americano tradicional y étnico.
Me encantan los tacos que son mi cosa favorita para hacer
después de trabajar en una gasolinera, incluso me gusta su comida.
Sí, puede ser bueno a veces hay buenos lugares de taco cerca de ti","Sí, hay varios puntos de taco cerca de mí.",4.25
"ما نوع الأطعمة التي تحبها
أنا أحب جميع أنواع الأطعمة . التقليدية والعرقية الأمريكية .
أنا أحب سندويشات التاكو فهي الشيء المفضل لدي لصنعه
بعد العمل في محطة وقود ، حتى أنني أحب طعامها.
نعم يمكن أن يكون جيدا في بعض الأحيان هل هناك أي أماكن تاكو جيدة بالقرب منك",أعتقد أن هناك ، لكنني دائما أحصل على رقائق مع ماك والجبن.,"你喜欢吃什么食物？
我喜欢所有的食物，美国传统的和民族的。
我喜欢玉米饼，它们是我最喜欢做的东西
在加油站工作后，我甚至喜欢那里的食物。
是的，有时候会很好吃，你附近有没有好吃的玉米饼店",我想有，但我总是吃带有通心粉和奶酪的薯条。,"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you","i think there are , but i always get the chips with mac and cheese .","Quel genre d’aliments aimez-vous
J’aime toutes sortes d’aliments ; Traditionnel américain et ethnique.
J’adore les tacos, c’est ce que je préfère faire
Après avoir travaillé dans une station-service, j’aime même sa nourriture.
Oui, cela peut être bon parfois, y a-t-il de bons endroits pour tacos près de chez vous?","Je pense qu’il y en a, mais je reçois toujours les frites avec du macaroni au fromage.","Welche Art von Lebensmitteln mögen Sie?
Ich mag alle Arten von Lebensmitteln; Amerikanisch traditionell und ethnisch.
Ich liebe Tacos, sie sind meine Lieblingsbeschäftigung
Nachdem ich in einer Tankstelle gearbeitet habe, mag ich sogar das Essen.
Ja, es kann manchmal gut sein, gibt es gute Taco-Spots in Ihrer Nähe?","Ich denke, es gibt sie, aber ich bekomme immer die Chips mit Mac und Käse.","आपको किस तरह के खाद्य पदार्थ पसंद हैं
मुझे सभी प्रकार के खाद्य पदार्थ पसंद हैं; अमेरिकी पारंपरिक और जातीय।
मुझे टैकोस पसंद है, वे बनाने के लिए मेरी पसंदीदा चीज हैं
गैस स्टेशन में काम करने के बाद मुझे उसका खाना भी पसंद है .
हां यह अच्छा हो सकता है कभी-कभी क्या आपके आस-पास कोई अच्छा टैको स्पॉट होता है?","मुझे लगता है कि वहाँ हैं, लेकिन मुझे हमेशा मैक और पनीर के साथ चिप्स मिलते हैं।","どんな食べ物が好きですか
私はあらゆる種類の食べ物が好きです。アメリカの伝統的および民族的.
私はタコスが大好きで、彼らは私のお気に入りのものです
ガソリンスタンドで働いた後、私はその食べ物さえ好きです。
はい、それは時々良いことができますあなたの近くに良いタコススポットはありますか",あると思いますが、私はいつもマカロニアンドチーズでチップを手に入れます.,"어떤 음식을 좋아하세요
나는 모든 종류의 음식을 좋아한다. 미국의 전통과 민족.
나는 그들이 내가 가장 좋아하는 타코를 좋아한다
주유소에서 일한 후, 나는 심지어 그 음식을 좋아합니다.
예, 때로는 좋을 수 있습니다 근처에 좋은 타코 명소가 있습니까?",나는 있다고 생각하지만 항상 맥과 치즈로 칩을 얻습니다.,"какие продукты вам нравятся
Я люблю все виды продуктов; американские традиционные и этнические.
Я люблю тако, они моя любимая вещь для приготовления
после работы на заправке, мне даже нравится ее еда.
Да, это может быть хорошо, иногда есть ли хорошие места тако рядом с вами","Я думаю, что есть, но я всегда получаю чипсы с маком и сыром.","¿Qué tipo de alimentos te gustan?
me gustan todo tipo de alimentos; americano tradicional y étnico.
Me encantan los tacos que son mi cosa favorita para hacer
después de trabajar en una gasolinera, incluso me gusta su comida.
Sí, puede ser bueno a veces hay buenos lugares de taco cerca de ti","Creo que los hay, pero siempre me dan las patatas fritas con macarrones con queso.",2.5
"ما نوع الأطعمة التي تحبها
أنا أحب جميع أنواع الأطعمة . التقليدية والعرقية الأمريكية .
أنا أحب سندويشات التاكو فهي الشيء المفضل لدي لصنعه
بعد العمل في محطة وقود ، حتى أنني أحب طعامها.
نعم يمكن أن يكون جيدا في بعض الأحيان هل هناك أي أماكن تاكو جيدة بالقرب منك",أعتقد أن هناك ، لكنني أشعر بالجنون عندما أحصل على تاكو ويجب أن أذهب.,"你喜欢吃什么食物？
我喜欢所有的食物，美国传统的和民族的。
我喜欢玉米饼，它们是我最喜欢做的东西
在加油站工作后，我甚至喜欢那里的食物。
是的，有时候会很好吃，你附近有没有好吃的玉米饼店",我想有，但当我得到一个玉米饼，不得不走的时候，我就会生气。,"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you","i think there are , but i get mad when i get a taco and have to go .","Quel genre d’aliments aimez-vous
J’aime toutes sortes d’aliments ; Traditionnel américain et ethnique.
J’adore les tacos, c’est ce que je préfère faire
Après avoir travaillé dans une station-service, j’aime même sa nourriture.
Oui, cela peut être bon parfois, y a-t-il de bons endroits pour tacos près de chez vous?","Je pense qu’il y en a, mais je m’énerve quand je prends un taco et que je dois y aller.","Welche Art von Lebensmitteln mögen Sie?
Ich mag alle Arten von Lebensmitteln; Amerikanisch traditionell und ethnisch.
Ich liebe Tacos, sie sind meine Lieblingsbeschäftigung
Nachdem ich in einer Tankstelle gearbeitet habe, mag ich sogar das Essen.
Ja, es kann manchmal gut sein, gibt es gute Taco-Spots in Ihrer Nähe?","Ich denke, es gibt sie, aber ich werde wütend, wenn ich einen Taco bekomme und gehen muss.","आपको किस तरह के खाद्य पदार्थ पसंद हैं
मुझे सभी प्रकार के खाद्य पदार्थ पसंद हैं; अमेरिकी पारंपरिक और जातीय।
मुझे टैकोस पसंद है, वे बनाने के लिए मेरी पसंदीदा चीज हैं
गैस स्टेशन में काम करने के बाद मुझे उसका खाना भी पसंद है .
हां यह अच्छा हो सकता है कभी-कभी क्या आपके आस-पास कोई अच्छा टैको स्पॉट होता है?","मुझे लगता है कि वहाँ हैं, लेकिन जब मुझे टैको मिलता है तो मैं पागल हो जाता हूं और मुझे जाना पड़ता है।","どんな食べ物が好きですか
私はあらゆる種類の食べ物が好きです。アメリカの伝統的および民族的.
私はタコスが大好きで、彼らは私のお気に入りのものです
ガソリンスタンドで働いた後、私はその食べ物さえ好きです。
はい、それは時々良いことができますあなたの近くに良いタコススポットはありますか",あると思いますが、タコスをもらって行かなければならないと怒ってしまいます。,"어떤 음식을 좋아하세요
나는 모든 종류의 음식을 좋아한다. 미국의 전통과 민족.
나는 그들이 내가 가장 좋아하는 타코를 좋아한다
주유소에서 일한 후, 나는 심지어 그 음식을 좋아합니다.
예, 때로는 좋을 수 있습니다 근처에 좋은 타코 명소가 있습니까?","나는 있다고 생각하지만, 나는 타코를 얻고 가야 할 때 화를 낸다.","какие продукты вам нравятся
Я люблю все виды продуктов; американские традиционные и этнические.
Я люблю тако, они моя любимая вещь для приготовления
после работы на заправке, мне даже нравится ее еда.
Да, это может быть хорошо, иногда есть ли хорошие места тако рядом с вами","Я думаю, что есть, но я злюсь, когда я получаю тако и должен идти.","¿Qué tipo de alimentos te gustan?
me gustan todo tipo de alimentos; americano tradicional y étnico.
Me encantan los tacos que son mi cosa favorita para hacer
después de trabajar en una gasolinera, incluso me gusta su comida.
Sí, puede ser bueno a veces hay buenos lugares de taco cerca de ti","creo que los hay, pero me enojo cuando me dan un taco y tengo que irme.",2.75
"ما نوع الأطعمة التي تحبها
أنا أحب جميع أنواع الأطعمة . التقليدية والعرقية الأمريكية .
أنا أحب سندويشات التاكو فهي الشيء المفضل لدي لصنعه
بعد العمل في محطة وقود ، حتى أنني أحب طعامها.
نعم يمكن أن يكون جيدا في بعض الأحيان هل هناك أي أماكن تاكو جيدة بالقرب منك",نعم ، لكنني أعتقد أنني في الجنوب ولدي عائلة.,"你喜欢吃什么食物？
我喜欢所有的食物，美国传统的和民族的。
我喜欢玉米饼，它们是我最喜欢做的东西
在加油站工作后，我甚至喜欢那里的食物。
是的，有时候会很好吃，你附近有没有好吃的玉米饼店",是的，但我想我在南方，有一个家。,"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you","yes , but i think i am in the south and have a family .","Quel genre d’aliments aimez-vous
J’aime toutes sortes d’aliments ; Traditionnel américain et ethnique.
J’adore les tacos, c’est ce que je préfère faire
Après avoir travaillé dans une station-service, j’aime même sa nourriture.
Oui, cela peut être bon parfois, y a-t-il de bons endroits pour tacos près de chez vous?","Oui, mais je pense que je suis dans le sud et que j’ai une famille.","Welche Art von Lebensmitteln mögen Sie?
Ich mag alle Arten von Lebensmitteln; Amerikanisch traditionell und ethnisch.
Ich liebe Tacos, sie sind meine Lieblingsbeschäftigung
Nachdem ich in einer Tankstelle gearbeitet habe, mag ich sogar das Essen.
Ja, es kann manchmal gut sein, gibt es gute Taco-Spots in Ihrer Nähe?","Ja, aber ich glaube, ich bin im Süden und habe eine Familie.","आपको किस तरह के खाद्य पदार्थ पसंद हैं
मुझे सभी प्रकार के खाद्य पदार्थ पसंद हैं; अमेरिकी पारंपरिक और जातीय।
मुझे टैकोस पसंद है, वे बनाने के लिए मेरी पसंदीदा चीज हैं
गैस स्टेशन में काम करने के बाद मुझे उसका खाना भी पसंद है .
हां यह अच्छा हो सकता है कभी-कभी क्या आपके आस-पास कोई अच्छा टैको स्पॉट होता है?","हां, लेकिन मुझे लगता है कि मैं दक्षिण में हूं और मेरा एक परिवार है।","どんな食べ物が好きですか
私はあらゆる種類の食べ物が好きです。アメリカの伝統的および民族的.
私はタコスが大好きで、彼らは私のお気に入りのものです
ガソリンスタンドで働いた後、私はその食べ物さえ好きです。
はい、それは時々良いことができますあなたの近くに良いタコススポットはありますか",はい、でも私は南部にいて家族がいると思います.,"어떤 음식을 좋아하세요
나는 모든 종류의 음식을 좋아한다. 미국의 전통과 민족.
나는 그들이 내가 가장 좋아하는 타코를 좋아한다
주유소에서 일한 후, 나는 심지어 그 음식을 좋아합니다.
예, 때로는 좋을 수 있습니다 근처에 좋은 타코 명소가 있습니까?","네,하지만 저는 남쪽에 있고 가족이 있다고 생각합니다 .","какие продукты вам нравятся
Я люблю все виды продуктов; американские традиционные и этнические.
Я люблю тако, они моя любимая вещь для приготовления
после работы на заправке, мне даже нравится ее еда.
Да, это может быть хорошо, иногда есть ли хорошие места тако рядом с вами","Да, но я думаю, что я нахожусь на юге и у меня есть семья.","¿Qué tipo de alimentos te gustan?
me gustan todo tipo de alimentos; americano tradicional y étnico.
Me encantan los tacos que son mi cosa favorita para hacer
después de trabajar en una gasolinera, incluso me gusta su comida.
Sí, puede ser bueno a veces hay buenos lugares de taco cerca de ti","Sí, pero creo que estoy en el sur y tengo una familia.",2.0
